estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
EN CURSO;T OV-20256538;NO;;24/11/2025;BRL;NAVARRA;RD1215;HIDRO ENERGIA XANA;HIDRO ENERGIA XANA;HIDRO ENERGIA XANA ESTUDIO PUENTES GRUA EN VARIAS PLANTAS;CLIENTE NUEVO;;;7.116,00 €;1200;HMR;;;;;;
ACEPTADO;T OV-20256434;SI;;18/11/2025;AEL;MADRID;MEDIO AMBIENTE;ENEL GREEN POWER;ENEL GREEN POWER;PAIF PFV CORCHAS Y NARANJOS;CLIENTE ANTIGUO;;;1.150,00 €;0;HMR;;;;;;
ACEPTADO;T OV-20256489;SI;;18/11/2025;AEL;MADRID;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;CAMBIOS MENORES PFV LA VEGA I Y II;CLIENTE ANTIGUO;;;412,00 €;0;HMR;;;;;;
ACEPTADO;T OV-20256541;NO;;24/11/2025;BLO;NAVARRA;SEVESO;ALCOA;ALUMINIO;REV PEI ALUMINIO;CLIENTE ANTIGUO;LAR y MMB;;3.980,00 €;502;LAR;;;;;;
ACEPTADO;T OV-20256604;NO;;27/11/2025;BRL;NAVARRA;ATEX;IMQ;ABC COMPORNENTES;REV DPCEX IMQ ABC COMPONENTES;CLIENTE ANTIGUO;;;1.250,00 €;96;BRL;;;;;;
ACEPTADO;T OV-20256609;SI;;27/11/2025;DPV;MADRID;IMPLANTACION;ENEL GREEN POWER;ENDESA GENERACIÓN;DIV CT SON REUS x6;CLIENTE ANTIGUO;;;2.400,00 €;0;DPV;;;;;;
ACEPTADO;T OV-20256610;SI;;27/11/2025;DPV;MADRID;AUTOPROTECCION;NATURGY;UFD;UFD SETs ALARCOS Y SESEÑA;CLIENTE ANTIGUO;;;3.295,00 €;198;;;;;;;
ACEPTADO;T OV-20256422;NO;;18/11/2025;ELA;MADRID;ATEX;ASK CHEMICALS;ASK CHEMICALS;ASK CHEMICAL REV DPCEX;CLIENTE ANTIGUO;Visita BRL;;2.640,00 €;350;BRL;;;;;;
ACEPTADO;T OV-20256052;NO;;30/10/2025;ELA;MADRID;ATEX;FRIBASA;FRIBASA;FRIBASA DPCEX GASOIL;CLIENTE NUEVO;Visita BRL;;1.250,00 €;190;BRL;;;;;;
ACEPTADO;T OV-20256623;NO;;28/11/2025;BRL;NAVARRA;RD1215;GRUPO COSMOS;NEINSA;GCOSMOS NEINSA EXPEDIENTE TECNICO M-12 ISO FIX;CLIENTE ANTIGUO;;;580,00 €;20;BRL;;;;;;
ACEPTADO;T OV-20256627;NO;;28/11/2025;BRL;NAVARRA;ATEX;DANA AUTOMOCION;DANA PAMPLONA;DANA PAMPLONA REV DPCEX;CLIENTE ANTIGUO;;;1.535,00 €;20;BRL;;;;;;
EN CURSO;T OV-20256628;NO;;28/11/2025;BRL;NAVARRA;LOTO;DANA AUTOMOCION;DANA PAMPLONA;DANA PAMPLONA FICHA LOTO TORNO MAZAK;CLIENTE ANTIGUO;;;195,00 €;20;IRE;;;;;;
ACEPTADO;T OV-20256629;NO;;28/11/2025;BRL;NAVARRA;LOTO;DANA AUTOMOCION;DANA PAMPLONA;DANA PAMPLONA FORMACION ANUAL LOTO;CLIENTE ANTIGUO;;;700,00 €;20;IRE;;;;;;
ACEPTADO;T OV-20256478;NO;;24/10/2024;ELA;MADRID;ATEX;AEMA;AEMA;FORMACIÓN ATEX 10H;CLIENTE ANTIGUO;;;227,00 €;0;ELA;;;;;;
ACEPTADO;T OV-20256479;NO;;24/10/2024;ELA;MADRID;ATEX;GRUPO AGUAS ALFARO;GRUPO AGUAS ALFARO;FORMACIÓN ATEX 10H;CLIENTE ANTIGUO;;;227,00 €;0;ELA;;;;;;
ACEPTADO;T OV-20256590;SI;;26/11/2025;AEL;NAVARRA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;PAU + PAIF + REG PFV CENTURION;CLIENTE ANTIGUO;;;2.550,00 €;153;HMR;;;;;;
ACEPTADO;T OV-20256591;SI;;26/11/2025;AEL;NAVARRA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;PAU + REV PAIF + REG PFV EMIN;CLIENTE ANTIGUO;;;2.450,00 €;147;HMR;;;;;;
ACEPTADO;T OV-20256592;SI;;26/11/2025;AEL;NAVARRA;IMPLANTACION;ENEL GREEN POWER;ENEL GREEN POWER;SIMULACRO PFV CLUSTER SAN SERVAN;CLIENTE ANTIGUO;;;1.100,00 €;66;AEL;;;;;;
ACEPTADO;T OV-20256593;SI;;26/11/2025;AEL;NAVARRA;IMPLANTACION;ENEL GREEN POWER;ENEL GREEN POWER;SIMULACRO PFV VALDECABALLEROS BADAJOZ;CLIENTE ANTIGUO;;;1.100,00 €;66;AEL;;;;;;
ACEPTADO;T OV-20256675;NO;;01/12/2025;JMR;NAVARRA;S. ELECTRICOS;VIDRALA;VIDRALA;GASTOS VIDRALA;CLIENTE ANTIGUO;;;318,07 €;318;JMR;;;;;;
